C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1     22-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000000.spe	31.54	6.38	1	0.010268	-0.008542	0.009800	0.078770	25354	1.76	50	251	0	64	1047	671	2014	85701	412	1254	68	159	354	28091	177	113	193	40	147	464	313	7089	129	471	53	51	89	0	0	68	0	705	2096	0	95	45	0	14	57	800	24200	7956	0.107	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000001.spe	32.54	6.39	1	0.010270	-0.008542	0.009800	0.078770	32441	2.27	61	400	0	155	1568	583	2754	127311	756	1729	140	214	536	37138	146	101	253	112	170	550	175	8659	123	366	83	61	88	0	0	46	0	874	2602	53	189	0	240	0	135	772	27816	8832	0.106	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000002.spe	33.54	6.42	1	0.010271	-0.008542	0.009800	0.078770	35384	2.62	91	382	0	150	1578	563	2535	160057	1000	2089	97	187	468	37419	143	52	269	72	223	415	87	9176	93	439	118	72	0	0	0	120	0	981	2792	13	110	88	118	0	141	861	27259	9106	0.105	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000003.spe	34.54	6.42	1	0.010271	-0.008542	0.009800	0.078770	36248	2.73	75	339	0	83	1606	546	2364	171494	1018	2194	111	199	488	36598	190	119	275	68	175	486	169	9730	121	396	83	112	50	0	0	120	0	978	2716	54	214	0	35	0	205	912	27338	9520	0.104	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000004.spe	35.54	6.43	1	0.010271	-0.008542	0.009746	0.078770	36581	2.73	84	383	0	155	1758	517	2626	156624	1052	1971	108	228	470	38600	131	129	311	45	195	499	313	10082	73	414	127	66	56	0	0	73	0	946	2783	18	114	71	44	49	147	811	30370	10113	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000005.spe	36.54	6.44	1	0.010266	-0.008542	0.009746	0.078770	38078	2.18	94	405	0	129	2082	529	3397	146697	642	2123	79	262	745	47499	205	188	368	170	281	651	392	10180	112	445	116	60	127	0	0	89	0	1144	2961	34	136	89	0	0	177	1287	32145	10009	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000006.spe	37.54	6.46	1	0.010262	-0.008542	0.009746	0.078770	36927	2.04	84	383	0	137	1814	499	3362	140261	467	2077	82	235	678	46385	189	248	295	76	235	619	216	9749	105	679	133	57	194	0	0	107	0	1139	2954	28	167	107	67	0	161	1519	30641	10055	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000007.spe	38.54	6.47	1	0.010262	-0.008542	0.009765	0.078770	36901	2.05	110	431	0	107	1724	524	3357	143718	485	2229	74	256	815	47087	190	137	273	85	212	578	351	9633	117	541	96	69	155	0	49	86	0	1123	2980	19	245	19	0	0	191	1463	30262	9882	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000008.spe	39.54	6.48	1	0.010264	-0.008542	0.009765	0.078770	37215	2.22	83	480	0	147	1760	579	3432	147600	651	2430	132	248	818	48878	124	168	205	112	265	645	352	9488	208	629	76	108	153	0	64	37	0	1049	2894	111	167	11	77	0	169	1469	29805	9965	0.107	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000009.spe	40.54	6.49	1	0.010265	-0.008542	0.009765	0.078770	37851	2.17	113	450	0	127	1748	524	3221	164089	793	2633	137	273	725	47839	163	216	169	184	224	527	346	9317	95	733	124	97	141	0	0	102	0	849	2876	12	137	15	0	0	185	1373	28598	9669	0.104	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000010.spe	41.54	6.50	1	0.010265	-0.008542	0.009780	0.078770	38086	2.18	67	386	0	117	1642	506	2891	176119	787	2464	135	298	661	43823	242	183	170	53	298	529	245	9885	28	347	107	104	81	0	0	103	0	886	2751	29	0	37	33	68	161	948	28242	9803	0.105	
