x Distance [mm]	Height [cm]
 -1.735 	 3.604 
 -1.545 	 3.624 
 -1.360 	 3.670 
 -1.170 	 3.711 
 -0.980 	 3.739 
 -0.795 	 3.437 
 -0.605 	 1.143 
 -0.420 	 1.544 
 -0.230 	 1.773 
 -0.040 	 1.821 
 0.145 	 1.817 
 0.335 	 1.825 
 0.520 	 1.813 
 0.710 	 1.794 
 0.900 	 1.777 
 1.085 	 1.755 
 1.275 	 1.744 
 1.460 	 1.760 
 1.650 	 1.792 
 1.840 	 1.818 
 2.025 	 1.847 
 2.215 	 1.853 
 2.400 	 1.829 
 2.590 	 1.835 
 2.780 	 1.832 
 2.965 	 1.846 
 3.155 	 1.857 
 3.340 	 1.861 
 3.530 	 1.866 
 3.720 	 4.442 
 3.905 	 9.624 
 4.095 	 8.273 
 4.280 	 3.088 
 4.470 	 1.641 
 4.660 	 1.637 
 4.845 	 1.582 
 5.035 	 1.569 
 5.220 	 1.559 
 5.410 	 1.720 
 5.600 	 1.895 
 5.785 	 2.107 
 5.975 	 2.067 
 6.160 	 1.549 
 6.350 	 1.127 
 6.540 	 0.958 
 6.725 	 0.990 
 6.915 	 0.960 
 7.100 	 0.946 
 7.290 	 0.937 
 7.480 	 0.952 
 7.665 	 0.957 
 7.855 	 0.932 
 8.040 	 0.958 
 8.230 	 1.039 
 8.420 	 1.322 
 8.605 	 1.644 
 8.795 	 5.823 
 8.980 	 5.919 
 9.170 	 5.950 
 9.360 	 1.431 
 9.545 	 1.409 
 9.735 	 1.445 
 9.920 	 1.445 
 10.110 	 1.460 
 10.300 	 1.472 
 10.485 	 1.542 
 10.675 	 1.626 
 10.860 	 1.743 
 11.050 	 1.870 
 11.240 	 2.025 
 11.425 	 2.317 
 11.615 	 3.432 
 11.800 	 9.219 
 11.990 	 9.619 
 12.180 	 9.619 
 12.365 	 9.624 
 12.555 	 9.624 
 12.740 	 9.619 
 12.930 	 9.619 
 13.120 	 9.619 
 13.305 	 9.619 
 13.495 	 9.619 
 13.680 	 9.624 
 13.870 	 9.624 
 14.060 	 9.624 
 14.245 	 9.624 
 14.435 	 9.619 
 14.620 	 9.619 
 14.810 	 9.624 
 15.000 	 9.623 
 15.185 	 9.620 
 15.375 	 9.624 
 15.560 	 9.620 
 15.750 	 9.624 
 15.940 	 9.620 
 16.125 	 9.624 
 16.315 	 9.624 
 16.500 	 3.499 
 16.690 	 9.084 
 16.880 	 9.619 
 17.065 	 9.620 
 17.255 	 8.767 
 17.440 	 1.747 
 17.630 	 1.846 
 17.820 	 1.922 
 18.005 	 2.101 
 18.195 	 2.175 
 18.380 	 2.182 
 18.570 	 9.620 
 18.760 	 9.623 
 18.945 	 9.619 
 19.135 	 9.624 
 19.320 	 9.624 
 19.510 	 9.624 
 19.700 	 9.619 
 19.885 	 9.620 
 20.075 	 9.299 
 20.260 	 5.566 
 20.450 	 5.353 
 20.640 	 4.650 
 20.825 	 4.533 
 21.015 	 4.649 
 21.200 	 4.822 
 21.390 	 5.028 
 21.580 	 5.294 
 21.765 	 5.611 
 21.955 	 5.799 
 22.140 	 5.962 
 22.330 	 6.067 
 22.520 	 6.114 
 22.705 	 6.145 
 22.895 	 6.185 
 23.080 	 6.213 
 23.270 	 6.239 
 23.460 	 6.274 
 23.645 	 6.307 
 23.835 	 6.342 
 24.020 	 6.384 
 24.210 	 6.416 
 24.400 	 6.462 
 24.585 	 6.499 
 24.775 	 6.406 
 24.960 	 5.951 
 25.150 	 5.853 
 25.340 	 5.830 
 25.525 	 5.787 
 25.715 	 5.785 
 25.900 	 5.752 
 26.090 	 5.757 
 26.280 	 5.771 
 26.465 	 5.784 
 26.655 	 5.861 
 26.840 	 5.915 
 27.030 	 5.954 
 27.220 	 6.015 
 27.405 	 6.111 
 27.595 	 6.215 
 27.780 	 6.328 
 27.970 	 6.414 
 28.160 	 6.507 
 28.345 	 6.605 
 28.535 	 6.694 
 28.720 	 6.764 
 28.910 	 6.848 
 29.100 	 6.905 
 29.285 	 7.008 
