C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data     06-Oct-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Nd	Sm	Yb	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000000.spe	29.75	8.02	1	0.010267	-0.009931	0.009900	0.077115	61105	1.78	186	1477	0	38	1434	407	9273	75866	0	9386	352	912	6769	185894	431	611	590	222	39	581	1216	5778	342	1012	17	0	44	0	437	167	237	71	999	2667	1182	290	277	64	1309	745	1067	33818	11138	0.114	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000001.spe	30.75	8.06	1	0.010267	-0.009931	0.009900	0.077115	51670	1.74	111	1267	0	15	4539	601	7269	39589	0	8635	304	830	5065	158479	401	461	398	130	41	411	998	4560	139	814	27	0	60	0	388	186	175	90	904	2287	2075	155	193	192	1083	593	745	31988	10591	0.111	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000002.spe	31.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	55624	1.71	143	1305	0	42	7937	617	7745	38623	0	9128	377	971	5014	175535	399	551	529	164	0	489	1046	4607	133	923	17	0	14	0	405	174	208	202	1057	2455	1328	299	85	81	1359	734	939	33738	10798	0.113	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000003.spe	32.75	8.13	1	0.010267	-0.009931	0.009900	0.077115	55240	1.87	173	1301	0	32	1203	775	7704	32634	0	9843	402	989	11202	183417	538	638	451	68	113	533	1011	4155	197	815	0	0	24	0	486	196	248	177	1073	2210	88	232	428	246	1626	740	1065	32433	10088	0.111	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000004.spe	33.75	8.12	1	0.010267	-0.009931	0.009900	0.077115	56220	1.78	190	1303	0	9	1178	654	8167	33373	66	9565	407	1042	4646	190230	387	585	493	126	17	435	1216	4242	317	859	0	0	0	0	436	215	256	160	1105	2438	67	253	476	109	1337	787	1243	33825	10508	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000005.spe	34.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	55661	1.73	154	1207	0	46	1263	758	7755	41709	0	9155	289	921	9857	177208	470	649	559	101	149	523	1161	4279	236	964	0	0	0	0	437	159	192	224	1108	2259	195	254	405	0	1371	735	1267	33999	10688	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000006.spe	35.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	54464	1.78	141	1122	0	14	1214	692	7673	44903	0	8874	285	884	5080	173601	397	619	525	231	46	457	962	4469	196	867	0	0	40	0	312	129	208	137	1082	2405	153	218	315	325	1183	618	1246	33427	10223	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000007.spe	36.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	49097	1.67	129	1089	0	12	1028	701	6592	32885	0	7950	376	832	3949	157758	311	552	421	57	140	408	1028	3660	125	831	0	0	24	0	307	182	230	187	967	2189	138	131	305	97	1189	577	962	31643	9725	0.109	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000008.spe	37.75	8.09	1	0.010267	-0.009931	0.009900	0.077115	52238	1.71	150	1139	0	0	1203	709	7374	35786	0	8943	376	968	4045	172610	293	605	357	147	42	468	1034	4010	303	729	0	0	39	0	415	157	172	232	966	2207	146	151	384	143	1415	683	1156	31727	9697	0.109	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000009.spe	38.75	8.08	1	0.010267	-0.009931	0.009900	0.077115	51694	1.73	141	1125	0	0	1038	744	6967	32374	0	8991	347	834	6018	171254	278	526	425	94	61	436	953	3732	182	989	0	0	0	0	404	168	241	170	991	2271	124	189	429	163	1268	669	1088	30593	9657	0.110	
