,,Cu,S,Na,Mg,Si,Al,P,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Zn,Ga,Ge,As,Se,Br,Kr,Xe,Rn,At,I,Te,Po,Bi,Sb,Sn,Pb,Tl,In,Cs,Ba,Rb,Sr,Y,Zr,Hf,Ta,Nb,Mo,W,Re,Tc,Ru,Os,Rh,Ir,Pt,Pd,Cd,Au,Hg,Ag,Fr,Ra,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ac,Th,Pa,U
,,ppm,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,ppm,mass%,ppm,ppm,mass%,mass%,mass%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
33-34,12/03/2024 13:35,23.5,0.121,1.53,0.495,5.2,1.76,0.0144,0.986,ND,0.533,33,ND,0.203,ND,19.4,0.0415,1.22,0.0069,ND,77.6,ND,ND,38.9,ND,48.1,174,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,282,33.4,1210,ND,ND,ND,ND,9.72,ND,ND,ND,ND,ND,ND,ND,37.8,ND,ND,ND,6.66,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,327,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
43-44,12/03/2024 13:47,16.2,0.188,1.22,0.962,7.63,2.61,0.0128,0.498,ND,0.994,31.1,ND,0.266,ND,29.5,0.0566,1.74,0.0062,23.1,104,9.39,ND,13.9,ND,60.6,32.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,305,42.8,1180,22,ND,ND,ND,10.6,ND,ND,26.2,ND,ND,ND,ND,11.1,ND,ND,ND,7.96,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,470,ND,ND,48.1,ND,ND,ND,ND,ND,15.8,ND
44-45,12/03/2024 13:59,31.4,0.128,2.04,1.1,7.75,2.76,ND,0.841,ND,1.18,29.5,ND,0.272,ND,43.9,0.0523,1.83,0.0088,23.6,102,ND,ND,10.9,ND,50.7,32.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,154,ND,ND,ND,298,40,987,24.5,ND,ND,28.1,ND,ND,ND,ND,ND,ND,ND,ND,21.8,ND,ND,ND,11.4,ND,ND,ND,11.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,22.4,ND
46-47,12/03/2024 14:12,ND,0.177,3.23,1.11,8.56,2.72,ND,0.936,ND,1.11,29.1,ND,0.28,40.5,32.5,0.0545,1.81,0.0074,29.5,55.8,10.5,ND,9.48,ND,57.5,24.6,ND,ND,ND,12.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,276,41,911,17.1,ND,ND,ND,8.91,ND,ND,11.8,ND,ND,12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,524,ND,ND,36.5,ND,ND,ND,ND,ND,22.6,ND
67-68,12/03/2024 14:24,31.7,0.126,1.49,0.819,5.6,1.88,0.0103,0.39,ND,0.686,33.7,ND,0.279,ND,23.2,0.0384,1.52,0.0082,22.9,37.3,7.82,ND,ND,ND,52.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15.7,ND,ND,ND,189,29.7,1170,14,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
77-78,12/03/2024 14:36,45.9,0.132,0.879,0.791,6.08,2.09,0.012,0.267,ND,0.712,31.7,ND,0.346,41,41.8,0.0797,1.9,0.0097,25.5,41.5,11.4,ND,30.1,ND,47.7,116,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,242,32,1130,15.7,ND,ND,ND,12.9,ND,ND,12.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,49.8,31.3,ND,ND,ND,ND,ND
80-81,12/03/2024 14:48,41.5,0.136,4.11,0.776,5.37,1.79,0.0139,1.34,ND,0.67,32.1,ND,0.302,ND,27.2,0.0675,1.6,0.0083,24.6,37.4,ND,ND,36.9,ND,48.5,135,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,196,27.5,1110,13.5,ND,ND,ND,10,ND,ND,ND,ND,ND,ND,ND,44.4,ND,ND,ND,ND,ND,ND,13.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,21.2,ND,ND,ND,ND,ND
84-85,12/03/2024 15:01,37.7,0.179,1.35,0.806,6.08,2.05,0.0136,0.314,ND,0.692,31.3,ND,0.398,40.2,53.3,0.0585,2.16,ND,31.1,46.5,9.97,ND,7.6,ND,52.5,21.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,6.17,ND,ND,ND,182,27.3,1190,15.8,ND,ND,ND,18.9,ND,ND,ND,ND,ND,12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,166,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10.4,ND
93-94,12/03/2024 15:13,75.1,0.0816,2.41,1.75,9.8,3.35,0.0555,0.521,ND,0.559,18.5,ND,1.26,217,256,0.107,6.21,0.0228,76.3,83,8.89,ND,8.89,ND,35.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.55,ND,ND,ND,197,22.1,760,19.8,ND,ND,41.2,40.9,ND,ND,18,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,74.5,ND,ND,ND,ND,ND
